Season,Round,CircuitLocation,LapNumber,DriverNumber,Team,TyreLife,Compound,TrackStatus,LapStartTime_Sec,LapTime_Sec,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,Position,FreshTyre
2018,1,Melbourne,1.0,10,Toro Rosso,,nan,,427.988,105.06,,25.495,37.955,17.0,True
2018,1,Melbourne,1.0,11,Force India,,nan,,427.988,102.341,,24.934,37.81,12.0,True
2018,1,Melbourne,1.0,14,McLaren,,nan,,427.988,101.528,,24.692,38.129,10.0,True
2018,1,Melbourne,1.0,16,Sauber,,nan,,427.988,105.584,,25.641,37.954,18.0,True
2018,1,Melbourne,1.0,18,Williams,,nan,,427.988,103.434,,25.292,38.288,14.0,True
2018,1,Melbourne,1.0,2,McLaren,,nan,,427.988,101.951,,24.842,38.046,11.0,True
2018,1,Melbourne,1.0,20,Haas F1 Team,,nan,,427.988,97.107,,24.172,36.683,4.0,True
2018,1,Melbourne,1.0,27,Renault,,nan,,427.988,99.077,,24.679,36.881,7.0,True
2018,1,Melbourne,1.0,28,Toro Rosso,,nan,,427.988,125.584,,26.123,58.018,20.0,True
2018,1,Melbourne,1.0,3,Red Bull Racing,,nan,,427.988,99.6,,24.88,36.745,8.0,True
2018,1,Melbourne,1.0,31,Force India,,nan,,427.988,102.906,,25.175,37.589,13.0,True
2018,1,Melbourne,1.0,33,Red Bull Racing,,nan,,427.988,97.684,,24.474,36.592,5.0,True
2018,1,Melbourne,1.0,35,Williams,,nan,,427.988,106.494,,26.394,38.117,19.0,True
2018,1,Melbourne,1.0,44,Mercedes,,nan,,427.988,94.233,,23.82,35.564,1.0,True
2018,1,Melbourne,1.0,5,Ferrari,,nan,,427.988,96.194,,24.142,36.352,3.0,True
2018,1,Melbourne,1.0,55,Renault,,nan,,427.988,100.565,,24.762,37.444,9.0,True
2018,1,Melbourne,1.0,7,Ferrari,,nan,,427.988,95.474,,23.858,36.343,2.0,True
2018,1,Melbourne,1.0,77,Mercedes,,nan,,427.988,103.824,,25.298,38.132,15.0,True
2018,1,Melbourne,1.0,8,Haas F1 Team,,nan,,427.988,98.45,,24.627,36.832,6.0,True
2018,1,Melbourne,1.0,9,Sauber,,nan,,427.988,104.674,,25.152,38.541,16.0,True
2018,1,Melbourne,2.0,44,Mercedes,,nan,,522.399,90.265,30.261,24.081,35.923,1.0,True
2018,1,Melbourne,2.0,7,Ferrari,4.0,ULTRASOFT,,523.64,90.266,29.958,24.047,36.261,2.0,False
2018,1,Melbourne,2.0,5,Ferrari,4.0,ULTRASOFT,,524.36,90.562,30.174,23.995,36.393,3.0,False
2018,1,Melbourne,2.0,20,Haas F1 Team,4.0,ULTRASOFT,,525.273,90.83,30.35,24.353,36.127,4.0,False
2018,1,Melbourne,2.0,33,Red Bull Racing,4.0,SUPERSOFT,,525.85,90.942,30.368,24.093,36.481,5.0,False
2018,1,Melbourne,2.0,8,Haas F1 Team,4.0,ULTRASOFT,,526.616,91.033,30.519,24.231,36.283,6.0,False
2018,1,Melbourne,2.0,27,Renault,4.0,ULTRASOFT,,527.243,91.31,30.586,24.299,36.425,7.0,False
2018,1,Melbourne,2.0,3,Red Bull Racing,4.0,SUPERSOFT,,527.766,91.264,30.571,24.323,36.37,8.0,False
2018,1,Melbourne,2.0,55,Renault,4.0,ULTRASOFT,,528.731,91.322,30.437,24.592,36.293,9.0,False
2018,1,Melbourne,2.0,14,McLaren,1.0,ULTRASOFT,,529.694,91.565,30.482,24.593,36.49,10.0,True
2018,1,Melbourne,2.0,2,McLaren,1.0,ULTRASOFT,,530.117,92.173,31.13,24.448,36.595,11.0,True
2018,1,Melbourne,2.0,11,Force India,1.0,ULTRASOFT,,530.507,92.896,31.283,24.566,37.047,12.0,True
