Time,Status,Message,Season,Round,Date
0 days 00:14:47.534000,2,Yellow,2018,1,2018-03-25 05:24:47.534
0 days 00:14:54.676000,1,AllClear,2018,1,2018-03-25 05:24:54.676
0 days 00:14:55.424000,2,Yellow,2018,1,2018-03-25 05:24:55.424
0 days 00:17:32.340000,1,AllClear,2018,1,2018-03-25 05:27:32.340
0 days 00:21:00.464000,2,Yellow,2018,1,2018-03-25 05:31:00.464
0 days 00:21:02.731000,1,AllClear,2018,1,2018-03-25 05:31:02.731
0 days 00:41:39.694000,2,Yellow,2018,1,2018-03-25 05:51:39.694
0 days 00:41:54.199000,1,AllClear,2018,1,2018-03-25 05:51:54.199
0 days 00:42:09.798000,2,Yellow,2018,1,2018-03-25 05:52:09.798
0 days 00:43:06.320000,1,AllClear,2018,1,2018-03-25 05:53:06.320
0 days 00:44:01.324000,2,Yellow,2018,1,2018-03-25 05:54:01.324
0 days 00:44:59.666000,6,VSCDeployed,2018,1,2018-03-25 05:54:59.666
0 days 00:49:00.615000,4,SCDeployed,2018,1,2018-03-25 05:59:00.615
0 days 00:57:11.990000,1,AllClear,2018,1,2018-03-25 06:07:11.990
0 days 00:08:08.643000,2,Yellow,2018,2,2018-04-08 15:18:08.643
0 days 00:08:14.695000,1,AllClear,2018,2,2018-04-08 15:18:14.695
0 days 00:08:26.014000,2,Yellow,2018,2,2018-04-08 15:18:26.014
0 days 00:08:51.074000,1,AllClear,2018,2,2018-04-08 15:18:51.074
0 days 00:09:57.697000,2,Yellow,2018,2,2018-04-08 15:19:57.697
0 days 00:10:24.916000,1,AllClear,2018,2,2018-04-08 15:20:24.916
0 days 00:10:32.280000,2,Yellow,2018,2,2018-04-08 15:20:32.280
0 days 00:10:41.473000,6,VSCDeployed,2018,2,2018-04-08 15:20:41.473
0 days 00:14:18.149000,7,VSCEnding,2018,2,2018-04-08 15:24:18.149
0 days 00:14:28.726000,1,AllClear,2018,2,2018-04-08 15:24:28.726
0 days 00:16:12.118000,2,Yellow,2018,2,2018-04-08 15:26:12.118
0 days 00:16:52.560000,1,AllClear,2018,2,2018-04-08 15:26:52.560
0 days 00:16:54.296000,2,Yellow,2018,2,2018-04-08 15:26:54.296
0 days 00:17:03.081000,1,AllClear,2018,2,2018-04-08 15:27:03.081
0 days 00:24:49.514000,2,Yellow,2018,2,2018-04-08 15:34:49.514
0 days 00:25:07.399000,1,AllClear,2018,2,2018-04-08 15:35:07.399
0 days 00:51:26.333000,2,Yellow,2018,2,2018-04-08 16:01:26.333
0 days 00:51:37.393000,1,AllClear,2018,2,2018-04-08 16:01:37.393
0 days 01:12:30.099000,2,Yellow,2018,2,2018-04-08 16:22:30.099
0 days 01:12:43.186000,1,AllClear,2018,2,2018-04-08 16:22:43.186
0 days 00:56:48.669000,2,Yellow,2018,3,2018-04-15 07:06:48.669
0 days 00:56:55.543000,1,AllClear,2018,3,2018-04-15 07:06:55.543
0 days 00:56:56.675000,2,Yellow,2018,3,2018-04-15 07:06:56.675
0 days 00:57:01.660000,1,AllClear,2018,3,2018-04-15 07:07:01.660
0 days 00:58:51.111000,4,SCDeployed,2018,3,2018-04-15 07:08:51.111
0 days 01:08:59.294000,1,AllClear,2018,3,2018-04-15 07:18:59.294
0 days 01:22:07.472000,2,Yellow,2018,3,2018-04-15 07:32:07.472
0 days 01:22:15.100000,1,AllClear,2018,3,2018-04-15 07:32:15.100
0 days 00:08:08.035000,2,Yellow,2018,4,2018-04-29 12:18:08.035
