Time,Status,Message,Season,Round,Time_Sec
0 days 00:14:47.534000,2,Yellow,2018,1,887.534
0 days 00:14:54.676000,1,AllClear,2018,1,894.676
0 days 00:14:55.424000,2,Yellow,2018,1,895.424
0 days 00:17:32.340000,1,AllClear,2018,1,1052.34
0 days 00:21:00.464000,2,Yellow,2018,1,1260.464
0 days 00:21:02.731000,1,AllClear,2018,1,1262.731
0 days 00:41:39.694000,2,Yellow,2018,1,2499.694
0 days 00:41:54.199000,1,AllClear,2018,1,2514.199
0 days 00:42:09.798000,2,Yellow,2018,1,2529.798
0 days 00:43:06.320000,1,AllClear,2018,1,2586.32
0 days 00:44:01.324000,2,Yellow,2018,1,2641.324
0 days 00:44:59.666000,6,VSCDeployed,2018,1,2699.666
0 days 00:49:00.615000,4,SCDeployed,2018,1,2940.615
0 days 00:57:11.990000,1,AllClear,2018,1,3431.99
0 days 00:08:08.643000,2,Yellow,2018,2,488.643
0 days 00:08:14.695000,1,AllClear,2018,2,494.695
0 days 00:08:26.014000,2,Yellow,2018,2,506.014
0 days 00:08:51.074000,1,AllClear,2018,2,531.074
0 days 00:09:57.697000,2,Yellow,2018,2,597.697
0 days 00:10:24.916000,1,AllClear,2018,2,624.916
0 days 00:10:32.280000,2,Yellow,2018,2,632.28
0 days 00:10:41.473000,6,VSCDeployed,2018,2,641.473
0 days 00:14:18.149000,7,VSCEnding,2018,2,858.149
0 days 00:14:28.726000,1,AllClear,2018,2,868.726
0 days 00:16:12.118000,2,Yellow,2018,2,972.118
0 days 00:16:52.560000,1,AllClear,2018,2,1012.56
0 days 00:16:54.296000,2,Yellow,2018,2,1014.296
0 days 00:17:03.081000,1,AllClear,2018,2,1023.081
0 days 00:24:49.514000,2,Yellow,2018,2,1489.514
0 days 00:25:07.399000,1,AllClear,2018,2,1507.399
0 days 00:51:26.333000,2,Yellow,2018,2,3086.333
0 days 00:51:37.393000,1,AllClear,2018,2,3097.393
0 days 01:12:30.099000,2,Yellow,2018,2,4350.099
0 days 01:12:43.186000,1,AllClear,2018,2,4363.186
0 days 00:56:48.669000,2,Yellow,2018,3,3408.669
0 days 00:56:55.543000,1,AllClear,2018,3,3415.543
0 days 00:56:56.675000,2,Yellow,2018,3,3416.675
0 days 00:57:01.660000,1,AllClear,2018,3,3421.66
0 days 00:58:51.111000,4,SCDeployed,2018,3,3531.111
0 days 01:08:59.294000,1,AllClear,2018,3,4139.294
0 days 01:22:07.472000,2,Yellow,2018,3,4927.472
0 days 01:22:15.100000,1,AllClear,2018,3,4935.1
0 days 00:08:08.035000,2,Yellow,2018,4,488.035
0 days 00:08:31.311000,4,SCDeployed,2018,4,511.311
0 days 00:20:55.542000,1,AllClear,2018,4,1255.542
0 days 00:29:45.887000,2,Yellow,2018,4,1785.887
0 days 00:29:57.038000,1,AllClear,2018,4,1797.038
0 days 00:31:56.943000,2,Yellow,2018,4,1916.943
0 days 00:32:11.113000,1,AllClear,2018,4,1931.113
0 days 00:38:24.721000,2,Yellow,2018,4,2304.721
0 days 00:39:20.846000,1,AllClear,2018,4,2360.846
0 days 00:39:21.089000,2,Yellow,2018,4,2361.089
0 days 00:39:24.030000,1,AllClear,2018,4,2364.03
0 days 00:44:33.894000,2,Yellow,2018,4,2673.894
0 days 00:44:46.392000,1,AllClear,2018,4,2686.392
0 days 00:48:45.019000,2,Yellow,2018,4,2925.019
0 days 00:48:56.143000,1,AllClear,2018,4,2936.143
0 days 01:23:08.659000,2,Yellow,2018,4,4988.659
0 days 01:23:50.402000,4,SCDeployed,2018,4,5030.402
0 days 01:44:03.406000,1,AllClear,2018,4,6243.406
0 days 01:46:30.618000,2,Yellow,2018,4,6390.618
0 days 01:46:34.249000,1,AllClear,2018,4,6394.249
0 days 01:46:44.106000,2,Yellow,2018,4,6404.106
0 days 01:47:59.907000,1,AllClear,2018,4,6479.907
0 days 00:07:38.778000,2,Yellow,2018,5,458.778
0 days 00:07:45.735000,4,SCDeployed,2018,5,465.735
0 days 00:20:01.446000,1,AllClear,2018,5,1201.446
0 days 01:06:31.369000,2,Yellow,2018,5,3991.369
0 days 01:07:06.365000,6,VSCDeployed,2018,5,4026.365
0 days 01:10:26.389000,7,VSCEnding,2018,5,4226.389
0 days 01:10:40.273000,1,AllClear,2018,5,4240.273
0 days 01:10:45.365000,2,Yellow,2018,5,4245.365
0 days 01:10:53.057000,1,AllClear,2018,5,4253.057
0 days 00:07:26.615000,2,Yellow,2018,6,446.615
0 days 00:08:23.728000,1,AllClear,2018,6,503.728
0 days 00:23:43.859000,2,Yellow,2018,6,1423.859
0 days 00:23:52.390000,1,AllClear,2018,6,1432.39
0 days 01:16:03.406000,2,Yellow,2018,6,4563.406
0 days 01:17:08.918000,1,AllClear,2018,6,4628.918
0 days 01:40:35.410000,2,Yellow,2018,6,6035.41
0 days 01:41:19.432000,6,VSCDeployed,2018,6,6079.432
0 days 01:43:22.924000,7,VSCEnding,2018,6,6202.924
0 days 01:43:34.712000,1,AllClear,2018,6,6214.712
0 days 00:07:29.041000,2,Yellow,2018,7,449.041
0 days 00:07:42.541000,4,SCDeployed,2018,7,462.541
0 days 00:14:35.528000,1,AllClear,2018,7,875.528
0 days 01:39:03.793000,2,Yellow,2018,7,5943.793
0 days 01:39:07.326000,1,AllClear,2018,7,5947.326
0 days 01:39:09.347000,2,Yellow,2018,7,5949.347
0 days 01:39:18.240000,1,AllClear,2018,7,5958.24
0 days 01:39:31.886000,2,Yellow,2018,7,5971.886
0 days 01:39:35.425000,1,AllClear,2018,7,5975.425
0 days 00:07:41.290000,2,Yellow,2018,8,461.29
0 days 00:07:46.439000,1,AllClear,2018,8,466.439
0 days 00:07:54.649000,2,Yellow,2018,8,474.649
0 days 00:08:13.781000,4,SCDeployed,2018,8,493.781
0 days 00:19:28.652000,1,AllClear,2018,8,1168.652
0 days 00:20:07.542000,2,Yellow,2018,8,1207.542
0 days 00:20:14.784000,1,AllClear,2018,8,1214.784
0 days 01:32:22.447000,2,Yellow,2018,8,5542.447
