LapStartTime,Driver,LapNumber,LapTime,TyreLife,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,Position,TrackStatus
0 days 01:02:34.872000,VER,1.0,0 days 00:01:40.236000,4.0,,0 days 00:00:42.325000,0 days 00:00:24.389000,1.0,SOFT,2.0,
0 days 01:02:34.872000,SAI,1.0,0 days 00:01:41.006000,4.0,,0 days 00:00:42.889000,0 days 00:00:24.253000,1.0,SOFT,3.0,
0 days 01:02:34.872000,MSC,1.0,0 days 00:01:48.826000,1.0,,0 days 00:00:47.568000,0 days 00:00:24.968000,1.0,SOFT,13.0,
0 days 01:02:34.872000,GAS,1.0,0 days 00:01:44.270000,4.0,,0 days 00:00:44.153000,0 days 00:00:24.667000,1.0,SOFT,8.0,
0 days 01:02:34.872000,HAM,1.0,0 days 00:01:41.555000,3.0,,0 days 00:00:42.966000,0 days 00:00:24.137000,1.0,SOFT,4.0,
0 days 01:02:34.872000,NOR,1.0,0 days 00:01:50.088000,1.0,,0 days 00:00:47.585000,0 days 00:00:25.268000,1.0,MEDIUM,16.0,
0 days 01:02:34.872000,RIC,1.0,0 days 00:01:51.601000,1.0,,0 days 00:00:48.222000,0 days 00:00:25.612000,1.0,MEDIUM,20.0,
0 days 01:02:34.872000,LAT,1.0,0 days 00:01:51.134000,1.0,,0 days 00:00:47.175000,0 days 00:00:25.624000,1.0,SOFT,18.0,
0 days 01:02:34.872000,HUL,1.0,0 days 00:01:49.698000,1.0,,0 days 00:00:46.832000,0 days 00:00:25.204000,1.0,SOFT,15.0,
0 days 01:02:34.872000,ZHO,1.0,0 days 00:01:51.374000,1.0,,0 days 00:00:46.799000,0 days 00:00:25.531000,1.0,SOFT,19.0,
0 days 01:02:34.872000,ALB,1.0,0 days 00:01:47.636000,1.0,,0 days 00:00:46.031000,0 days 00:00:24.844000,1.0,SOFT,11.0,
0 days 01:02:34.872000,TSU,1.0,0 days 00:01:48.128000,1.0,,0 days 00:00:45.990000,0 days 00:00:24.788000,1.0,SOFT,12.0,
0 days 01:02:34.872000,MAG,1.0,0 days 00:01:42.333000,1.0,,0 days 00:00:43.366000,0 days 00:00:24.340000,1.0,SOFT,5.0,
0 days 01:02:34.872000,STR,1.0,0 days 00:01:50.439000,1.0,,0 days 00:00:47.076000,0 days 00:00:25.303000,1.0,SOFT,17.0,
0 days 01:02:34.872000,LEC,1.0,0 days 00:01:39.070000,1.0,,0 days 00:00:42.120000,0 days 00:00:23.984000,1.0,SOFT,1.0,
0 days 01:02:34.872000,PER,1.0,0 days 00:01:42.993000,4.0,,0 days 00:00:43.551000,0 days 00:00:24.454000,1.0,SOFT,6.0,
0 days 01:02:34.872000,RUS,1.0,0 days 00:01:43.445000,4.0,,0 days 00:00:44.044000,0 days 00:00:24.324000,1.0,SOFT,7.0,
0 days 01:02:34.872000,OCO,1.0,0 days 00:01:46.170000,1.0,,0 days 00:00:45.149000,0 days 00:00:24.658000,1.0,SOFT,10.0,
0 days 01:02:34.872000,ALO,1.0,0 days 00:01:45.174000,4.0,,0 days 00:00:44.252000,0 days 00:00:24.810000,1.0,SOFT,9.0,
0 days 01:02:34.872000,BOT,1.0,0 days 00:01:49.195000,4.0,,0 days 00:00:47.660000,0 days 00:00:25.013000,1.0,SOFT,14.0,
0 days 01:04:14.174000,LEC,2.0,0 days 00:01:37.853000,2.0,0 days 00:00:31.582000,0 days 00:00:42.159000,0 days 00:00:24.112000,1.0,SOFT,1.0,
0 days 01:04:15.340000,VER,2.0,0 days 00:01:37.880000,5.0,0 days 00:00:31.285000,0 days 00:00:42.269000,0 days 00:00:24.326000,1.0,SOFT,2.0,
0 days 01:04:16.110000,SAI,2.0,0 days 00:01:38.649000,5.0,0 days 00:00:31.818000,0 days 00:00:42.486000,0 days 00:00:24.345000,1.0,SOFT,3.0,
0 days 01:04:16.659000,HAM,2.0,0 days 00:01:39.002000,4.0,0 days 00:00:31.844000,0 days 00:00:42.722000,0 days 00:00:24.436000,1.0,SOFT,4.0,
0 days 01:04:17.437000,MAG,2.0,0 days 00:01:38.993000,2.0,0 days 00:00:31.544000,0 days 00:00:42.940000,0 days 00:00:24.509000,1.0,SOFT,5.0,
0 days 01:04:18.097000,PER,2.0,0 days 00:01:39.092000,5.0,0 days 00:00:31.632000,0 days 00:00:42.939000,0 days 00:00:24.521000,1.0,SOFT,6.0,
0 days 01:04:18.549000,RUS,2.0,0 days 00:01:39.694000,5.0,0 days 00:00:32.238000,0 days 00:00:42.979000,0 days 00:00:24.477000,1.0,SOFT,7.0,
0 days 01:04:19.374000,GAS,2.0,0 days 00:01:40.169000,5.0,0 days 00:00:32.180000,0 days 00:00:43.326000,0 days 00:00:24.663000,1.0,SOFT,8.0,
0 days 01:04:20.278000,ALO,2.0,0 days 00:01:40.412000,5.0,0 days 00:00:32.208000,0 days 00:00:43.527000,0 days 00:00:24.677000,1.0,SOFT,9.0,
0 days 01:04:21.274000,OCO,2.0,0 days 00:01:40.111000,2.0,0 days 00:00:31.913000,0 days 00:00:43.342000,0 days 00:00:24.856000,1.0,SOFT,10.0,
0 days 01:04:22.740000,ALB,2.0,0 days 00:01:40.548000,2.0,0 days 00:00:32.027000,0 days 00:00:43.725000,0 days 00:00:24.796000,1.0,SOFT,11.0,
0 days 01:04:23.232000,TSU,2.0,0 days 00:01:40.697000,2.0,0 days 00:00:32.192000,0 days 00:00:43.736000,0 days 00:00:24.769000,1.0,SOFT,12.0,
0 days 01:04:23.930000,MSC,2.0,0 days 00:01:40.722000,2.0,0 days 00:00:32.091000,0 days 00:00:43.849000,0 days 00:00:24.782000,1.0,SOFT,13.0,
0 days 01:04:24.299000,BOT,2.0,0 days 00:01:40.817000,5.0,0 days 00:00:32.029000,0 days 00:00:43.927000,0 days 00:00:24.861000,1.0,SOFT,14.0,
0 days 01:04:24.802000,HUL,2.0,0 days 00:01:41.077000,2.0,0 days 00:00:32.384000,0 days 00:00:43.773000,0 days 00:00:24.920000,1.0,SOFT,15.0,
0 days 01:04:25.192000,NOR,2.0,0 days 00:01:42.279000,2.0,0 days 00:00:32.974000,0 days 00:00:44.334000,0 days 00:00:24.971000,1.0,MEDIUM,17.0,
0 days 01:04:25.543000,STR,2.0,0 days 00:01:41.019000,2.0,0 days 00:00:32.331000,0 days 00:00:43.771000,0 days 00:00:24.917000,1.0,SOFT,16.0,
0 days 01:04:26.238000,LAT,2.0,0 days 00:01:42.298000,2.0,0 days 00:00:32.910000,0 days 00:00:44.506000,0 days 00:00:24.882000,1.0,SOFT,19.0,
0 days 01:04:26.478000,ZHO,2.0,0 days 00:01:41.229000,2.0,0 days 00:00:32.100000,0 days 00:00:44.208000,0 days 00:00:24.921000,1.0,SOFT,18.0,
0 days 01:04:26.705000,RIC,2.0,0 days 00:01:42.590000,2.0,0 days 00:00:32.607000,0 days 00:00:44.876000,0 days 00:00:25.107000,1.0,MEDIUM,20.0,
0 days 01:05:52.027000,LEC,3.0,0 days 00:01:38.272000,3.0,0 days 00:00:31.635000,0 days 00:00:42.404000,0 days 00:00:24.233000,1.0,SOFT,1.0,
0 days 01:05:53.220000,VER,3.0,0 days 00:01:38.357000,6.0,0 days 00:00:31.499000,0 days 00:00:42.474000,0 days 00:00:24.384000,1.0,SOFT,2.0,
0 days 01:05:54.759000,SAI,3.0,0 days 00:01:39.049000,6.0,0 days 00:00:31.884000,0 days 00:00:42.691000,0 days 00:00:24.474000,1.0,SOFT,3.0,
0 days 01:05:55.661000,HAM,3.0,0 days 00:01:39.075000,5.0,0 days 00:00:31.671000,0 days 00:00:42.931000,0 days 00:00:24.473000,1.0,SOFT,4.0,
0 days 01:05:56.430000,MAG,3.0,0 days 00:01:41.224000,3.0,0 days 00:00:32.545000,0 days 00:00:44.082000,0 days 00:00:24.597000,1.0,SOFT,6.0,
0 days 01:05:57.189000,PER,3.0,0 days 00:01:39.473000,6.0,0 days 00:00:31.789000,0 days 00:00:43.115000,0 days 00:00:24.569000,1.0,SOFT,5.0,
0 days 01:05:58.243000,RUS,3.0,0 days 00:01:39.725000,6.0,0 days 00:00:31.922000,0 days 00:00:43.261000,0 days 00:00:24.542000,1.0,SOFT,7.0,
0 days 01:05:59.543000,GAS,3.0,0 days 00:01:39.968000,6.0,0 days 00:00:31.940000,0 days 00:00:43.366000,0 days 00:00:24.662000,1.0,SOFT,8.0,
0 days 01:06:00.690000,ALO,3.0,0 days 00:01:40.226000,6.0,0 days 00:00:32.073000,0 days 00:00:43.487000,0 days 00:00:24.666000,1.0,SOFT,9.0,
0 days 01:06:01.385000,OCO,3.0,0 days 00:01:40.248000,3.0,0 days 00:00:31.988000,0 days 00:00:43.503000,0 days 00:00:24.757000,1.0,SOFT,10.0,
0 days 01:06:03.288000,ALB,3.0,0 days 00:01:40.664000,3.0,0 days 00:00:32.056000,0 days 00:00:43.928000,0 days 00:00:24.680000,1.0,SOFT,11.0,
0 days 01:06:03.929000,TSU,3.0,0 days 00:01:40.618000,3.0,0 days 00:00:32.011000,0 days 00:00:43.881000,0 days 00:00:24.726000,1.0,SOFT,12.0,
0 days 01:06:04.652000,MSC,3.0,0 days 00:01:40.747000,3.0,0 days 00:00:32.025000,0 days 00:00:43.733000,0 days 00:00:24.989000,1.0,SOFT,13.0,
0 days 01:06:05.116000,BOT,3.0,0 days 00:01:40.732000,6.0,0 days 00:00:31.873000,0 days 00:00:43.805000,0 days 00:00:25.054000,1.0,SOFT,14.0,
